Tweets Ago,Name,Time,Tweet,Compound Score,Positive Score,Negative Score,Neutral Score
1,@BBC,Tue Mar 13 18:30:05 +0000 2018,"Microplastics are littering riverbeds across the UK, with hundreds of thousands of plastic particles per square met… https://t.co/cGhDdnQrTm",0.0,0.0,0.0,1.0
2,@BBC,Tue Mar 13 17:30:06 +0000 2018,❤️💃🏻 Ballet is STILL the love of Joyce's life at 98-years-old! https://t.co/nzr3Jy1wbS,0.6696,0.29,0.0,0.71
3,@BBC,Tue Mar 13 17:16:46 +0000 2018,"RT @bbcthree: ""No one needs airbags because you've got two"" 

.... and others things not to say to people who've had cosmetic procedures ht…",-0.296,0.0,0.087,0.913
4,@BBC,Tue Mar 13 17:13:13 +0000 2018,"RT @BBCR1: Now we have a trailer for #FantasticBeasts: The Crimes of Grindelwald, please can we take a moment to discuss Eddie Redmanyne's…",0.3182,0.103,0.0,0.897
5,@BBC,Tue Mar 13 17:02:28 +0000 2018,"RT @bbcwritersroom: #Networking, a necessary evil - and why you've got to learn to embrace it! 

Check out @PhilipShelley1's latest blog fo…",-0.5255,0.092,0.188,0.72
6,@BBC,Tue Mar 13 14:00:22 +0000 2018,"From making serious science genuinely popular to his sense of humour, here are seven reasons we ❤️ Stephen Hawking.… https://t.co/zWNEpoOttE",0.6808,0.244,0.054,0.702
7,@BBC,Tue Mar 13 13:00:08 +0000 2018,🎨 This scheme to recycle unused paint has saved hundreds of tons of leftovers from ending up in landfill. https://t.co/Y6oau3hK0s,0.4215,0.135,0.0,0.865
8,@BBC,Tue Mar 13 12:26:59 +0000 2018,🙅💌 Fans of #KPop boyband #BigBang have been asked to stop sending fan mail to @IBGDRGN at the army base where he's… https://t.co/Swh0KwypL7,0.0258,0.09,0.086,0.824
9,@BBC,Tue Mar 13 12:03:24 +0000 2018,"RT @bbcouch: During the Winter Olympics people across Britain were swept away by curling. And Aileen Neilson, captain of @ParalympicsGB’s c…",0.0,0.0,0.0,1.0
10,@BBC,Tue Mar 13 12:00:09 +0000 2018,"Shakespeare's plays are famous around the world, yet much about the playwright is still a mystery. 

Here's what we… https://t.co/McqCcs3mMj",0.25,0.1,0.0,0.9
11,@BBC,Tue Mar 13 11:28:09 +0000 2018,"RT @bbcthree: ""Underwater you feel nothing. You're at peace with yourself.""  #perfectday2018 https://t.co/zHpEQSzk4H",-0.431,0.0,0.192,0.808
12,@BBC,Tue Mar 13 11:26:58 +0000 2018,"RT @BBCiPlayer: Renowned shop owner and music producer, Blacker Dread, was amongst the first pioneers of sound system culture in the UK 🇯🇲…",-0.4588,0.0,0.12,0.88
13,@BBC,Tue Mar 13 09:00:06 +0000 2018,"🤔 Are we really born to prefer 'boys' or 'girls' toys? 

🐒 The answer might lie with monkeys... https://t.co/oI014dsJHD",0.0,0.0,0.0,1.0
14,@BBC,Tue Mar 13 08:30:07 +0000 2018,"🗣 Accents can be subject to subtle forms of prejudice, but does that mean some are more appealing and trustworthy t… https://t.co/BgEMXgEzSr",0.6304,0.2,0.081,0.718
